account,sector,year_established,revenue,employees,office_location,subsidiary_of,Table,Field,Description,product,series,sales_price,opportunity_id,sales_agent,deal_stage,engage_date,close_date,close_value,manager,regional_office
Acme Corporation,technolgy,1996.0,1100.04,2822.0,United States,,,,,,,,,,,,,,,
Betasoloin,medical,1999.0,251.41,495.0,United States,,,,,,,,,,,,,,,
Betatech,medical,1986.0,647.18,1185.0,Kenya,,,,,,,,,,,,,,,
Bioholding,medical,2012.0,587.34,1356.0,Philipines,,,,,,,,,,,,,,,
Bioplex,medical,1991.0,326.82,1016.0,United States,,,,,,,,,,,,,,,
Blackzim,retail,2009.0,497.11,1588.0,United States,,,,,,,,,,,,,,,
Bluth Company,technolgy,1993.0,1242.32,3027.0,United States,Acme Corporation,,,,,,,,,,,,,,
Bubba Gump,software,2002.0,987.39,2253.0,United States,,,,,,,,,,,,,,,
Cancity,retail,2001.0,718.62,2448.0,United States,,,,,,,,,,,,,,,
Cheers,entertainment,1993.0,4269.9,6472.0,United States,Massive Dynamic,,,,,,,,,,,,,,
Codehow,software,1998.0,2714.9,2641.0,United States,Acme Corporation,,,,,,,,,,,,,,
Condax,medical,2017.0,4.54,9.0,United States,,,,,,,,,,,,,,,
Conecom,technolgy,2005.0,1520.66,1806.0,United States,,,,,,,,,,,,,,,
Dalttechnology,software,2013.0,98.79,96.0,United States,Bubba Gump,,,,,,,,,,,,,,
dambase,marketing,1995.0,2173.98,2928.0,United States,Inity,,,,,,,,,,,,,,
Domzoom,entertainment,1998.0,217.87,551.0,United States,,,,,,,,,,,,,,,
Doncon,technolgy,2010.0,587.72,1501.0,United States,,,,,,,,,,,,,,,
Donquadtech,technolgy,1992.0,1712.68,3194.0,United States,Acme Corporation,,,,,,,,,,,,,,
Dontechi,software,1982.0,4618.0,10083.0,United States,,,,,,,,,,,,,,,
Donware,marketing,1999.0,1197.44,2570.0,United States,,,,,,,,,,,,,,,
Fasehatice,retail,1990.0,4968.91,7523.0,United States,,,,,,,,,,,,,,,
Faxquote,telecommunications,1995.0,1825.82,5595.0,United States,Sonron,,,,,,,,,,,,,,
Finhigh,finance,2006.0,1102.43,1759.0,United States,,,,,,,,,,,,,,,
Finjob,employment,1988.0,2059.9,3644.0,United States,,,,,,,,,,,,,,,
Funholding,finance,1991.0,2819.5,7227.0,United States,Golddex,,,,,,,,,,,,,,
Ganjaflex,retail,1995.0,5158.71,17479.0,Japan,,,,,,,,,,,,,,,
Gekko & Co,retail,1990.0,2520.83,3502.0,United States,,,,,,,,,,,,,,,
Genco Pura Olive Oil Company,retail,2007.0,894.33,1635.0,Italy,,,,,,,,,,,,,,,
Globex Corporation,technolgy,2000.0,1223.72,2497.0,Norway,,,,,,,,,,,,,,,
Gogozoom,telecommunications,2007.0,86.68,187.0,United States,Sonron,,,,,,,,,,,,,,
Golddex,finance,2008.0,52.5,165.0,United States,,,,,,,,,,,,,,,
Goodsilron,marketing,2000.0,2952.73,5107.0,United States,,,,,,,,,,,,,,,
Green-Plus,services,2003.0,692.19,1922.0,United States,,,,,,,,,,,,,,,
Groovestreet,retail,2003.0,223.8,299.0,United States,,,,,,,,,,,,,,,
Hatfan,services,1982.0,792.46,1299.0,United States,,,,,,,,,,,,,,,
Hottechi,technolgy,1997.0,8170.38,16499.0,Korea,,,,,,,,,,,,,,,
Initech,telecommunications,1994.0,6395.05,20275.0,United States,,,,,,,,,,,,,,,
Inity,marketing,1986.0,2403.58,8801.0,United States,,,,,,,,,,,,,,,
Isdom,medical,2002.0,3178.24,4540.0,United States,,,,,,,,,,,,,,,
Iselectrics,technolgy,2011.0,527.11,1428.0,United States,Acme Corporation,,,,,,,,,,,,,,
J-Texon,retail,1989.0,1388.67,3583.0,United States,,,,,,,,,,,,,,,
Kan-code,software,1982.0,11698.03,34288.0,United States,,,,,,,,,,,,,,,
Kinnamplus,retail,2004.0,702.72,1831.0,United States,,,,,,,,,,,,,,,
Konex,technolgy,1980.0,7708.38,13756.0,United States,,,,,,,,,,,,,,,
Konmatfix,marketing,1985.0,375.43,1190.0,United States,,,,,,,,,,,,,,,
Labdrill,medical,1985.0,2741.37,9226.0,United States,,,,,,,,,,,,,,,
Lexiqvolax,medical,2004.0,1618.89,3889.0,United States,,,,,,,,,,,,,,,
Massive Dynamic,entertainment,1989.0,665.06,1095.0,United States,,,,,,,,,,,,,,,
Mathtouch,marketing,1984.0,3027.46,9516.0,Jordan,,,,,,,,,,,,,,,
Nam-zim,services,1987.0,405.59,1179.0,Brazil,Warephase,,,,,,,,,,,,,,
Newex,services,1991.0,1012.72,3492.0,Germany,,,,,,,,,,,,,,,
Ontomedia,employment,1997.0,882.12,2769.0,United States,,,,,,,,,,,,,,,
Opentech,finance,1994.0,355.23,853.0,United States,,,,,,,,,,,,,,,
Plexzap,retail,2001.0,2437.85,4874.0,United States,,,,,,,,,,,,,,,
Plusstrip,entertainment,2002.0,349.81,315.0,United States,,,,,,,,,,,,,,,
Plussunin,retail,2003.0,1419.98,4018.0,United States,,,,,,,,,,,,,,,
Rangreen,technolgy,1987.0,2938.67,8775.0,Panama,,,,,,,,,,,,,,,
Rantouch,telecommunications,1994.0,1188.42,3015.0,United States,,,,,,,,,,,,,,,
Ron-tech,medical,1992.0,3922.42,6837.0,United States,,,,,,,,,,,,,,,
Rundofase,technolgy,1983.0,1008.06,1238.0,United States,,,,,,,,,,,,,,,
Scotfind,software,1996.0,6354.87,16780.0,United States,Bubba Gump,,,,,,,,,,,,,,
